aardvark,2.39
aardwolf,1.11
abalone,2.66
abeja,0.0001
addax,1.33
adder,2.69
adelgid,1.32
adeliepenguin,1.8
aedesaegypti,1.97
affenpinscher,0.0001
afghanhound,3.29
africandog,4.64
africanelephant,4.01
africanwilddog,4.41
agama,1.98
agouti,1.88
airedaleterrier,1.99
akita,2.49
albacore,2.23
albatross,2.9
albinopython,2.98
alga,2.33
alligator,3.32
alligatorlizard,3.15
alligatorsnappingturtle,3.03
allosaurus,1.85
alpaca,2.8
amberjack,1.64
americantoad,3.34
amoeba,2.64
amphibian,2.72
amphioxus,1.25
amphipod,1.72
anaconda,2.97
anchovy,2.58
anemone,2.56
angelfish,1.95
anglerfish,1.61
angoragoat,2.57
angorarabbit,2.58
anhinga,1.31
ankylosaur,1.13
annelid,1.58
anole,1.55
ant,3.86
anteater,2.28
antelope,3.08
antelopesquirrel,2.98
anthropoid,2.11
antlion,1.29
apatosaurus,1.53
ape,3.48
aphid,2.39
aplysia,1.7
appaloosa,1.93
applemaggot,2.78
arachnid,2.31
arapaima,1.34
archaea,2.3
archeopteryx,0.0001
archosaur,0.0001
arcticchar,3.36
arcticfox,3.94
argali,1.03
armadillo,2.7
armyworm,1.6
arrowheaddogfish,2.21
arrowheadshark,2.84
arthropod,2.33
ascidians,1.41
asianelephant,3.98
asp,3.05
ass,5
assassinbug,3.55
auk,2.27
auklet,0.0001
auroch,1.05
australopithecine,1.4
avian,3.14
avocet,1.83
axolotl,2.02
ayeaye,3.59
babirusa,1.04
baboon,2.73
baby,5.26
baca,2.73
bacteria,4.19
badger,3.48
baldeagle,3.65
baleenwhale,2.09
bananaslug,3.23
bandicoot,2.51
bantam,2.79
barkbeetle,3.36
barnowl,3.63
barnacle,2.55
barnaclegoose,2.53
barracuda,2.78
barramundi,1.89
barredowl,3.48
basenji,1.56
basilisk,2.42
baskingshark,2.85
bass,4.28
bassethound,2.56
bat,4.3
batfish,1.24
bayscallop,2.75
baya,1.83
beadedlizard,2.96
beagle,3.06
